" 2009년 "," 발생건수 ","발생건수 1월","발생건수 2월","발생건수 3월","발생건수 4월","발생건수 5월","발생건수 6월","발생건수 7월","발생건수 8월","발생건수 9월","발생건수 10월","발생건수 11월","발생건수 12월"," 검거건수 ","검거인원 남","검거인원 여",,
" 절도 ","255486","14265","15926","20053","21430","24307","22116","22794","21988","25779","22574","19456","24798","176402","203399","25821",,
" 장물 ","2735","104","126","208","249","281","178","191","235","370","444","163","186","2690","3181","527",,
" 사기 ","208901","13924","15425","17866","17463","16906","18972","18735","18205","18862","17565","17512","17466","173225","173084","45199",,
" 횡령 ","23484","1634","1732","2106","1970","1942","2148","2145","1943","1966","1930","1923","2045","20658","20730","4128",,
" 배임 ","4446","280","321","389","369","328","406","398","348","408","377","430","392","4029","5351","1230",,
" 손괴 ","42767","2774","2886","3483","3401","3436","3943","3911","3912","3963","3397","3450","4211","29739","29132","3116",,
" 살인 ","1366","78","75","101","105","130","131","138","142","133","115","113","105","1333","1391","180",,
" 강도 ","6349","482","451","549","539","772","460","576","551","554","574","434","407","5878","9073","806",,
" 방화 ","1855","143","129","169","161","203","152","164","130","136","156","150","162","1639","1676","173",,
" 강간 ","16024","871","932","1136","1133","1251","1480","1527","1694","1869","1467","1312","1352","14767","16118","332",,
" 폭행 ","114917","7614","8014","9504","9549","9906","10826","10509","10003","10438","9860","9330","9364","110156","130826","22195",,
" 상해 ","82127","5561","5651","6805","6477","6706","7648","7791","7399","7616","7059","6778","6636","79737","93742","16620",,
" 협박 ","4072","223","248","278","277","300","359","344","373","482","401","405","382","3831","3811","520",,
" 공갈 ","6413","287","488","538","333","466","478","493","631","817","692","652","538","5397","5822","639",,
" 약취와유인 ","298","17","26","14","23","26","17","16","52","36","24","31","16","286","330","69",,
" 체포와감금 ","853","51","51","72","67","62","70","84","72","86","89","80","69","792","905","150",,
" 폭력행위등(단체등의구성?활동) ","421","26","22","23","28","58","31","23","37","42","40","48","43","416","1120","44",,
" 폭력행위등처벌에관한법률위반 ","58697","3890","3926","4709","4491","4849","5356","5437","5341","5526","5173","4816","5183","55671","106465","23453",,
" 통화 ","4389","366","395","361","398","346","429","409","342","298","381","328","336","184","220","12",,
" 유가증권.인지.우표 ","1324","79","106","122","126","120","134","100","89","125","110","69","144","995","1130","177",,
" 문서 ","17441","1201","1238","1515","1416","1434","1710","1642","1600","1471","1407","1446","1361","16116","15812","5696",,
" 인장 ","459","24","39","49","48","37","46","47","43","39","31","32","24","428","449","65",,
" 직무유기 ","371","13","24","24","21","30","30","47","29","35","36","36","46","331","535","59",,
" 직권남용 ","193","17","12","11","19","23","17","22","14","11","21","11","15","172","271","21",,
" 수뢰 ","258","11","15","14","20","17","13","15","13","28","32","38","42","248","837","64",,
" 증뢰 ","88","3","7","9","10","7","8","3","8","6","12","6","9","88","240","17",,
" 간통 ","2282","165","196","180","221","179","198","219","175","207","206","179","157","2105","1972","1728",,
" 혼인빙자간음 ","445","36","36","35","38","30","39","40","36","38","43","34","40","390","396","9",,
" 기타음란행위 ","565","20","37","32","46","52","78","79","68","48","48","32","25","539","544","10",,
" 도박과복표 ","31498","942","1491","3316","3131","6339","3142","3181","2480","2085","1951","1905","1535","29722","49035","8616",,
" 신앙 ","241","13","14","20","11","15","19","19","9","18","28","30","45","200","291","56",,
" 과실치사상 ","1285","86","73","105","93","117","134","135","99","126","112","98","107","1219","1051","269",,
" 업무상과실치사상 ","2417","171","171","208","184","174","222","198","193","231","227","215","223","2364","2959","332",,
" 실화 ","1823","142","174","175","190","140","191","149","104","122","121","126","189","1180","1064","213",,
" 명예 ","12695","847","847","937","1007","1075","1150","1164","1074","1207","1173","1094","1120","11946","11295","3573",,
" 권리행사방해 ","3484","239","223","285","286","291","363","343","306","306","290","260","292","3090","3227","951",,
" 신용업무경매 ","16085","1073","1104","1348","1403","1404","1568","1464","1304","1394","1306","1362","1355","15755","19784","3237",,
" 주거침입 ","5771","363","393","444","416","477","513","570","532","565","527","469","502","5376","5527","1014",,
" 비밀침해 ","38","3","4","3","2","1","6","6","2","3","5"," - ","3","31","26","7",,
" 유기 ","117","9","14","5","11","8","7","14","10","15","6","11","7","87","56","61",,
" 낙태 ","26"," - "," - ","2","1","2","6","1","1","2","5","4","2","25","16","21",,
" 아편 ","1"," - "," - "," - "," - "," - ","1"," - "," - "," - "," - "," - "," - ","1","1"," - ",,
" 교통방해 ","973","43","43","69","63","72","103","99","115","92","91","93","90","952","1461","171",,
" 공무방해 ","15633","1069","1150","1232","1251","1392","1525","1449","1318","1390","1314","1299","1244","15498","16625","2674",,
" 도주와범인은닉 ","249","19","17","13","26","17","28","18","26","20","19","23","23","242","296","54",,
" 위증과증거인멸 ","2379","164","178","233","208","201","193","228","182","162","208","215","207","2115","1992","577",,
