범죄분류,서울_종로,서울_중구,서울_용산,서울_성동,서울_광진,서울_동대문,서울_중랑,서울_성북,서울_강북,서울_도봉,서울_노원,서울_은평,서울_서대문,서울_마포,서울_양천,서울_강서,서울_구로,서울_금천,서울_영등포,서울_동작,서울_관악,서울_서초,서울_강남,서울_송파,서울_강동,부산_중구,부산_서구,부산_동구,부산_영도,부산_부산진,부산_동래,부산_남구,부산_북구,부산_해운대,부산_사하,부산_금정,부산_강서,부산_연제,부산_수영,부산_사상,부산_기장군,대구_중구,대구_동구,대구_서구,대구_남구,대구_북구,대구_수성,대구_달서,대구_달성군,인천_중구,인천_동구,인천_서구,인천_미추홀,인천_연수,인천_남동,인천_부평,인천_계양,인천_강화군,인천_옹진군,광주_동구,광주_서구,광주_남구,광주_북구,광주_광산,대전_중구,대전_동구,대전_서구,대전_유성,대전_대덕,울산_중구,울산_동구,울산_남구,울산_북구,울산_울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,1519,2205,1020,976,1870,1542,1659,1087,1228,791,1505,1566,1217,2215,1483,2053,1917,1132,2418,1333,2260,2289,2986,2413,1654,705,609,724,353,2443,936,936,807,1307,1019,1031,478,887,803,1023,499,1482,1265,689,726,1340,1099,2058,631,848,190,1331,1754,1017,1688,2390,733,169,30,603,1193,615,1444,1095,1225,1178,1789,1026,646,637,513,1042,407,617,3710,5199,3252,2211,1748,3437,3705,1065,2002,2974,1609,2404,2328,1171,1604,1098,933,1535,3340,928,879,1306,2188,1026,2207,796,658,1507,731,836,460,1087,1298,823,416,364,2346,1769,942,1281,829,833,471,393,448,15603,9511
장물,18,11,5,4,7,7,4,6,9,3,8,4,2,8,4,2,0,1,6,3,7,6,26,8,3,23,5,83,2,24,7,10,10,19,11,8,3,7,5,9,6,4,3,0,1,1,1,5,3,75,3,23,9,3,40,25,3,0,0,1,3,2,1,1,1,1,4,7,2,1,1,4,5,1,9,21,11,2,5,10,10,1,4,8,1,5,6,1,2,2,0,6,11,0,1,12,11,1,5,3,1,10,5,2,0,0,1,1,1,0,4,2,2,3,3,1,0,0,0,100,13
사기,1920,2637,1503,1695,1742,1857,1668,1443,1879,1241,1724,2027,1526,1922,1627,2744,2231,1817,3323,1496,2698,4997,8364,3460,1742,949,977,1268,595,3108,1786,2184,2185,2867,1837,1611,985,2017,821,2311,962,1192,2322,1223,1125,2328,2695,3541,821,1369,339,2987,2765,1553,2986,2671,1548,246,77,954,2586,843,1984,2146,1667,1852,2909,1734,1183,1348,876,2632,775,1231,6285,8303,5466,3576,2823,5135,6611,1516,3065,4420,1875,5549,3242,1383,2612,1509,2108,3451,4352,1434,1382,2180,4130,2738,4374,1403,1191,3085,1052,1179,875,1056,1453,1429,627,501,4135,2742,2726,1918,1299,1136,1031,803,792,35666,15721
횡령,687,718,611,499,667,669,570,361,389,319,572,473,467,961,452,745,666,382,931,581,841,1190,1696,1513,459,221,118,177,84,874,288,248,206,417,252,227,134,235,176,159,165,432,466,187,195,396,380,558,121,510,81,660,855,297,721,731,319,76,11,240,366,142,500,496,255,202,445,210,165,131,96,357,87,142,1180,1587,1255,523,753,712,864,309,305,1006,212,1759,583,280,714,194,201,276,866,305,195,278,599,299,531,290,214,620,189,165,121,279,289,240,106,66,868,589,491,221,184,229,139,94,98,5183,2128
배임,47,77,36,36,25,34,22,24,19,19,26,28,21,57,42,48,52,36,88,36,26,171,239,95,45,33,11,16,11,49,33,40,21,61,26,42,31,39,19,26,18,12,22,29,7,30,46,45,10,18,9,43,43,23,38,42,11,8,6,29,33,20,38,51,17,9,36,41,9,13,16,44,6,31,63,80,87,66,43,75,108,20,43,42,33,80,78,17,37,22,22,39,96,41,16,41,60,20,64,25,15,40,20,13,10,16,19,30,11,14,111,29,34,21,15,13,17,20,9,721,840
손괴,353,339,339,284,363,304,543,284,437,275,512,442,361,408,362,584,463,322,638,401,459,468,667,648,448,148,132,182,108,571,285,336,283,290,320,237,100,237,219,251,126,263,436,312,243,423,354,587,189,176,83,535,581,288,640,728,346,86,15,189,357,232,380,355,211,253,559,237,220,249,224,438,163,184,1178,1609,920,411,591,1091,1042,325,629,1103,391,984,945,443,639,339,305,516,857,392,311,440,924,277,676,331,229,655,316,265,165,358,482,226,154,82,900,815,451,284,358,337,256,145,146,5926,3184
살인,4,5,3,6,4,7,10,3,6,1,4,3,2,2,7,8,10,6,10,5,12,5,9,8,6,3,1,0,4,8,4,5,1,3,10,10,1,3,3,9,1,1,8,0,4,6,7,10,6,2,1,6,10,8,11,6,5,2,0,3,4,3,6,2,5,3,4,6,0,8,3,3,1,4,15,16,4,19,6,14,20,1,5,10,4,11,17,6,5,11,7,5,14,3,5,2,8,3,2,4,4,14,3,5,5,3,7,4,2,1,9,3,5,4,2,1,1,3,7,110,77
강도,8,6,6,9,6,12,4,3,2,6,3,1,5,2,5,4,4,12,5,1,11,5,6,9,14,4,4,10,5,16,6,2,3,5,4,12,0,3,4,4,1,4,5,7,2,3,4,8,2,6,0,5,10,7,12,15,5,0,0,4,4,1,16,4,6,8,8,2,1,7,2,14,2,2,12,22,14,12,7,22,10,5,4,15,3,9,14,8,4,2,7,4,13,3,4,8,12,5,9,1,2,7,4,2,1,3,12,2,3,1,7,15,4,6,1,3,1,6,0,91,37
방화,8,10,9,2,7,7,15,10,4,7,8,13,9,5,7,24,8,9,16,11,18,9,8,14,13,4,2,5,6,15,8,7,5,7,7,4,2,5,3,13,4,2,11,6,10,8,9,9,7,3,3,10,11,6,13,16,9,1,0,6,11,5,15,5,13,9,14,7,5,4,0,5,3,7,16,23,16,11,12,22,19,5,11,21,4,26,19,13,17,6,11,14,17,8,8,5,24,8,7,6,4,15,11,10,7,7,9,2,4,5,11,11,9,9,6,8,8,9,8,127,125
성폭력,350,293,344,188,398,223,183,243,227,122,257,266,252,664,180,406,341,194,489,350,538,766,1257,428,247,82,51,74,39,430,119,124,117,252,155,117,60,132,95,130,59,207,206,81,89,183,157,276,92,144,25,324,334,174,405,485,163,31,9,96,244,79,241,181,203,132,393,188,69,98,81,226,70,85,579,872,608,407,322,472,484,167,204,505,153,481,387,183,286,122,157,207,399,114,147,231,262,119,217,147,131,271,124,98,67,149,143,111,61,61,410,301,193,112,137,127,77,66,42,2596,1507
