행번호,주택공급명,위치,공급규모,분양모집일자,배정내역,연락처
1,순천 복성지구 한신더휴,전남 순천시,10,2019-06-20,"67(1), 75(2), 84A(6), 84B(1)",1577-9800
2,세종 하늘채 센트레빌,세종 4-2생활권,2,2019-06-20,L3블록 59A  (1) M5블록 84A2 (1)  ,1577-9800
3,배산 신일 해피트리,전북 익산시,2,2019-06-26,84(2),1577-9800
4,고덕 하늘채 시그니처,경기 평택시,5,2019-06-27,"59A(2), 84(3)",1577-9800
5,빌리브 메트로뷰 ,대구 달서구,2,2019-06-27,"84A(1), 84B(1)",1577-9800
6,순천 복성지구 한신더휴,전남 순천시,10,2019-06-27,"67(1), 75(2), 84A(6), 84B(1)",1577-9800
7,가야 롯데캐슬 골드아너,부산 부산진구,6,2019-06-27,"59A(2) 59B(1), 84A(2), 84B(1)",1577-9800
8,힐스테이트 황금 센트럴,대구 수성구,15,2019-06-27,"84A(6), 84B(1), 84C(1), 84E(4), 75F(3)",1577-9800
9,판교 대장지구 제일풍경채,경기 성남시,7,2019-06-27,"A5 84A(4), A7-8 84A(3)",1577-9800
10,간성스위트엠센트럴,강원 고성군,7,2019-06-27,"66(2), 69(1), 75(3), 84(1)",1577-9800
11,무진로 진아리채,광주 서구,3,2019-06-27,"84A(2), 84B(1)",1577-9800
12,e편한세상 두류역,대구 서구,13,2019-06-28,"59(1), 74A(3), 74B(3), 84(6)",1577-9800
13,영종하늘도시(RC-2) 반도유보라,인천 경제자유구역,7,2019-06-28,"83(2), 84A(3), 84B(1), 84C(1)",1577-9800
14,월성 삼정그린코아,대구 달서구,11,2019-06-28,"84A(10), 84B(1)",1577-9800
15,광안 리슈바 DS 주상복합,부산 수영구,1,2019-06-28,68A(1),1577-9800
16,e편한세상 백련산,서울 은평구,2,2019-07-11,"84A(1), 84B(1)",1577-9800
17,태전2지구 A1블럭,경기도 광주,19,2019-07-11,"63A(8), 63B(2), 63C(1), 73A(2), 73B(2), 73C(2), 73D(2)",1577-9800
18,속초 대광로제비앙,강원 속초시,5,2019-07-11,"84A(2), 84B(2), 84C(1)",1577-9800
19,광주 제일풍경채 센트럴파크,광주 서구,20,2019-07-11,"59(4), 84A(6), 84B(10)",1577-9800
20,강서 등촌 두산위브아파트,서울 강서구,4,2019-07-11,"50(1), 59(2), 64(1)",1577-9800
21,광주 무등산 골드클래스 2차,광주 동구,6,2019-07-25,"59(1), 84(5)",1600-4119
22,평택 고덕국제신도시 A-45,경기 평택시,4,2019-07-25,"84A(2), 84B(1), 84C(1) ",1644-2887
23,고양 덕은지구 A5블록 대방노블랜드 1차,경기 고양시,7,2019-07-25,"84A(3), 84B(4)",1688-7733
24,대전 신흥 SK VIEW,대전 신흥동,11,2019-07-25,"59A(3), 59B(3), 74(2), 84(3) ",042-282-1096
25,대명동 교대역 하늘채 뉴센트원(공공분양),대구 남구,15,2019-07-25,"49(3), 59(2), 74(4), 75(1), 84(5)",1833-3433
26,다산 신도시 자연앤푸르지오,경기 남양주,16,2019-07-25,"51(5), 59A(6), 59B(2), 59C(3)",1588-4101
27,신천센트럴자이,대구 동구,14,2019-07-26,"84A(7), 84B(4), 84C(2), 84D(1)",1661-5523
28,양평 센트럴파크 써밋,경기 양평군,6,2019-08-01,63A(2) 80A(1) 80B(1) 80C(2),031-771-5085
29,신가동 모아엘가 더 수완,광주 광산구,12,2019-07-18,"84A(9), 84B(3)",1577-9800
30,광주역 자연앤자이,경기 광주시,12,2019-07-18,"74(1), 84A(9), 84B(1), 84C(1)",1577-9800
31,광주역 태전 경남아너스빌,경기도 광주,19,2019-08-07,"63A(8), 63B(2), 63C(1), 73A(2), 73B(2), 73C(2), 73D(2)",031-768-8356
32,오포 더샵 센트럴포레,경기 광주시,25,2019-08-07,"76B(8), 84(17)",1577-0065
33,서면 순천 모아엘가 리버파크,전남 순천시,7,2019-08-08,"84A(4), 84B(3)",061-744-0005
34,광양 푸르지오 더 퍼스트,전남 광양시,12,2019-08-08,"59A(1), 59B(1), 74A(2), 74B(1), 84A(3), 84B(2), 84C(1), 84D(1)",1800-3773
35,이수 푸르지오 더 프레티움,서울 동작구,3,2019-08-12,"51(1), 59D(1), 84E(1)",1800-0413
36,녹번역 e편한세상 캐슬 2차,서울 은평구,1,2019-08-14,59A(1),080-783-3000
37,송파 시그니처캐슬,서울 송파구,18,2019-08-16,"59A(1), 59B(1), 84A(1), 84B(4), 84C(9), 84D(2)",1811-8787
38,부천 일루미스테이트,경기 부천시,31,2019-08-22,"59A(14), 59B(3), 74(1), 84A(10), 84B(2), 84C(1)",1588-5207
39,e편한세상 김포,경기 김포시,9,2019-08-22,66A(1) 74A(1) 84A(4) 84B(1) 84C(1) 84D(1),031-989-1233
40,해링턴 플레이스 감삼,대구 달서구,2,2019-08-22,"84A(1), 84B(1)",1855-0320
41,의정부역 센트럴자이&위브캐슬,경기 의정부시,16,2019-08-22,"49(1), 59A(5), 59B(2), 59C(2), 59E(2),  72A(1), 72B(1), 84A(1), 84B(1)",1644-9838
42,서대문 푸르지오 센트럴파크,서울 서대문구,7,2019-08-23,49(1) 55(3) 59A(2) 75B(1),02-312-3600
43,평택 고덕국제신도시 A-22블럭 호반 써밋,경기 평택시,4,2019-08-22,84A(3) 84B(1),1566-0399
44,고양 덕은 대방노블랜드,경기 고양시,1,2019-08-28,84A(1),1688-7733
45,대전 유성 대광로제비앙,대전 유성구,9,2019-08-29,"84A(6), 84A""(1), 84B(2)",070-8709-8076
46,송도 더샵 센트럴파크(E5블럭),인천 연수구,1,2019-08-29,E5블럭 80(1),1833-2525
47,송도 더샵 프라임뷰(F20-1블럭),인천 연수구,8,2019-08-29,E5블럭 80(1) / F20-1 70(1) 84A(3) 84B(2) 84C(2),1833-2525
48,포레나 천안 두정,천안 서북구,25,2019-08-29,76A(6) 76B(4) 76C(2) 84A(11) 84B(2),1661-6700
49,모종 금호어울림 아이퍼스트,충남 아산시,3,2019-08-29,59A(1) 84A(1) 84B(1),041-531-1151
50,e편한세상 운정 어반프라임,경기 파주시,15,2019-08-29,59A(3) 59B(1) 59C(2) 74A(2) 84A(4) 84B(2) 84C(1),1600-0922
51,염주 더샵 센트럴파크,광주 서구,13,2019-08-29,59A(1) 76A(6) 76B(4) 84A(1) 84B(1),062-374-1800
52,e편한세상 평내,경기 남양주시,5,2019-08-29,53(1) 59A(2) 84B(1) 84C(1),031-559-3366
53,철산역 롯데캐슬 & SK VIEW 클래스티지,경기 광명시,8,2019-08-30,59A(5) 59B(3),1811-6767
54,지제역 더샵 센트럴시티,경기 평택시,18,2019-09-18,64(5) 84A(8) 84B(2) 84C(3),1522-0037
55,마곡 센트레빌,서울 강서구,1,2019-09-25,59A(1),1811-3666
56,대봉 더샵 센트럴파크 1차,대구 중구,4,2019-09-25,59(2) 74(1) 84B(1),053-746-8989
57,대봉 더샵 센트럴파크 2차,대구 중구,2,2019-09-25,74B(1) 84B(1),053-746-8989
58,죽젼역 화성파크드림,대구 달서구,1,2019-09-25,84A(1),053-565-5200
59,여수 경도비전 지에이그린웰,전남 여수시,9,2019-09-26,84A(3) 84B(2) 84C(4),061-661-1500
60,목동 더샵 리슈빌,대전 중구,10,2019-09-26,59A(1) 59B(1) 84A(5) 84B(3),1661-1511
61,주례 롯데캐슬 골드스마트,부산 사상구,7,2019-09-26,73(2) 84A(1) 84B(1) 84C(3),051-894-7700
62,힐스테이트 사하역,부산 사하구,17,2019-09-26,84A(12) 84B(3) 84C(2),051-911-1314
63,청주 율량 금호어울림 센트로,충북 청주시,6,2019-09-26,59A(1) 59B(1) 75A(1) 75B(2) 84A(1),043-217-5300
64,수성 데시앙 리버뷰,대구 수성구,2,2019-09-26,84A(1) 84B(1),053-765-3838
65,중산매곡 에일린의 뜰,울산 북구,5,2019-09-26,84A(1) 84B(2) 84B-1(2),052-256-5585
66,화명신도시 3차 비스타동원,부산 북구,6,2019-09-27,59(1) 73(2) 84A(1) 84B(2),051-331-0331
67,만촌역 서한포레스트,대구 수성구,1,2019-09-27,84A(1),053-761-3500
68,당진 송악 경남 아너스빌,충남 당진시,5,2019-09-25,59A(2) 72(2) 84(1),1522-3456
69,거제 덕진봄 8차 아파트,경남 거제시,3,2019-09-20,59A(1) 48A(1) 39A(1),02-566-9476
70,보문 리슈빌하우트,서울 성북구,4,2019-09-26,59(4),1522-3011
71,대곡역 두산위브,경기 고양시,1,2019-09-26,84B(1),1600-1709
72,e편한세상 서면 더센트럴,부산 부산진구,1,2019-09-26,84A(1),051-991-0077
73,일성 트루엘 시그니처,강원 삼척시,12,2019-09-30,59A 59B 74A 74B 84,1566-8481
74,이수교2차 KCC스위첸,서울 동작구,1,2019-10-02,59B(1),02-513-5557
75,여주역 푸르지오 클라테르,경기 여주시,4,2019-10-10,84A(2) 84B(1) 84C(1),1600-0878
76,안양예술공원 두산위브,경기 안양시,4,2019-10-10,46(1) 59A(1) 74(1) 84(1),1577-9322
77,스위첸 웰스타워 1차,울산 동구,5,2019-10-10,59A(1) 74A(2) 84A(1) 84B(1),1600-0474
78,스위첸 웰스타워 2차,울산 동구,8,2019-10-10,63(2) 76(3) 84(3),1600-0474
79,해링턴 플레이스 만촌,대구 수성구,2,2019-10-10,84A(1) 84B(1),053-743-8008
80,포레나 전주에코시티,전북 전주시,5,2019-10-10,84(5),1644-4994
81,도마 e편한세상 포레나,대전 서구,14,2019-10-10,59A(2) 59B(3) 74(5) 84A(1) 84B(1) 84C(2),042-826-3006
