행번호,도메인명,논리 데이터 유형,분류어,유형,대표 여부,정의내용
1,2525C병종코드_C6,고정길이문자형,2525C병종코드,코드,Y,생략
2,2525C부대규모코드_C2,고정길이문자형,2525C부대규모코드,코드,Y,생략
3,2525C피아식별코드_C1,고정길이문자형,2525C피아식별코드,코드,Y,생략
4,3군공통품목식별코드_C1,고정길이문자형,3군공통품목식별코드,코드,Y,생략
5,3군상호지원정비구분코드_C1,고정길이문자형,3군상호지원정비구분코드,코드,Y,생략
6,BOOKING번호_V15,가변길이문자형,BOOKING번호,번호,Y,생략
7,CEB번호_V3,가변길이문자형,CEB번호,번호,Y,생략
8,DN_V100,가변길이문자형,DN,텍스트,Y,생략
9,DODIC_V10,가변길이문자형,DODIC,식별자,Y,생략
10,D일_V8,가변길이문자형,D일,날짜,Y,생략
11,D일코드_C3,고정길이문자형,D일코드,코드,Y,생략
12,EAI구분번호_C1,고정길이문자형,EAI구분번호,번호,Y,생략
13,EAI문서번호_V124,가변길이문자형,EAI문서번호,번호,Y,생략
14,ELNOT번호_V6,가변길이문자형,ELNOT번호,번호,Y,생략
15,FIIG번호_V10,가변길이문자형,FIIG번호,번호,Y,생략
16,ID_V100,가변길이문자형,ID,식별자,N,생략
17,ID_V15,가변길이문자형,ID,식별자,Y,생략
18,ID_V30,가변길이문자형,ID,식별자,N,생략
19,ID_V50,가변길이문자형,ID,식별자,N,생략
20,ID_V8,가변길이문자형,ID,식별자,N,생략
21,ID가능문자유형번호_V10,가변길이문자형,ID가능문자유형번호,번호,Y,생략
22,ID필수문자유형번호_V10,가변길이문자형,ID필수문자유형번호,번호,Y,생략
23,IP_V15,가변길이문자형,IP,식별자,Y,생략
24,IP_V50,가변길이문자형,IP,식별자,N,생략
25,JOAP조치코드_C1,고정길이문자형,JOAP조치코드,코드,Y,생략
26,KN번호_V15,가변길이문자형,KN번호,번호,Y,생략
27,MAC주소_V12,가변길이문자형,MAC주소,식별자,Y,생략
28,MOPP구분코드_C1,고정길이문자형,MOPP구분코드,코드,Y,생략
29,M일코드_C3,고정길이문자형,M일코드,코드,Y,생략
30,PARA번호_V20,가변길이문자형,PARA번호,번호,Y,생략
31,PIN번호_V100,가변길이문자형,PIN번호,번호,Y,생략
32,비밀번호가능문자유형번호_V10,가변길이문자형,비밀번호가능문자유형번호,번호,Y,생략
33,비밀번호필수문자유형번호_V10,가변길이문자형,비밀번호필수문자유형번호,번호,Y,생략
34,RGB색상번호_V9,가변길이문자형,RGB색상번호,비율,Y,생략
35,SP번호_V20,가변길이문자형,SP번호,번호,Y,생략
36,UCMS보조속성구분코드_C5,고정길이문자형,UCMS보조속성구분코드,코드,Y,생략
37,UN국제생산물분류코드_C3,고정길이문자형,UN국제생산물분류코드,코드,Y,생략
38,URL_V255,가변길이문자형,URL,식별자,Y,생략
39,UTMX좌표_V15,가변길이문자형,UTMX좌표,좌표,Y,생략
40,UTMY좌표_V15,가변길이문자형,UTMY좌표,좌표,Y,생략
41,"가격_F15,2",실수,가격,금액,Y,생략
42,"가격_F22,2",실수,가격,금액,N,생략
43,가격조건코드_C3,고정길이문자형,가격조건코드,코드,Y,생략
44,"가동률_F7,4",실수,가동률,비율,Y,생략
45,가명_V100,가변길이문자형,가명,이름,Y,생략
46,"가액_F15,2",실수,가액,금액,N,생략
47,"가액_F22,2",실수,가액,금액,Y,생략
48,가용요소구분코드_C1,고정길이문자형,가용요소구분코드,코드,Y,생략
49,가족관계코드_C3,고정길이문자형,가족관계코드,코드,Y,생략
50,"가중치_F13,3",실수,가중치,수량,Y,생략
51,각도_F10,실수,각도,각도,N,생략
52,각도_F3,실수,각도,각도,Y,생략
53,"각도_F7,3",실수,각도,각도,N,생략
54,감가상각방법코드_C1,고정길이문자형,감가상각방법코드,코드,Y,생략
55,감사원소관코드_C3,고정길이문자형,감사원소관코드,코드,Y,생략
56,감시초소번호_V3,가변길이문자형,감시초소번호,번호,Y,생략
57,갑판번호_V4,가변길이문자형,갑판번호,번호,Y,생략
58,"값_F13,3",실수,값,수량,N,생략
59,"값_F23,6",실수,값,수량,Y,생략
60,"값_F6,2",실수,값,수량,N,생략
61,"강도_F13,3",실수,강도,비율,Y,생략
62,"강설량_F6,1",실수,강설량,수량,Y,생략
63,"강수량_F6,1",실수,강수량,수량,Y,생략
64,"강우량_F6,1",실수,강우량,수량,Y,생략
65,강우량_F8,실수,강우량,수량,N,생략
66,개발관리기관코드_C2,고정길이문자형,개발관리기관코드,코드,Y,생략
67,개발부품분류코드_C1,고정길이문자형,개발부품분류코드,코드,Y,생략
68,개발진행상태코드_C2,고정길이문자형,개발진행상태코드,코드,Y,생략
