안경업소명칭,사업장소재지(도로명),사업장우편번호(도로명),사업장전화번호
무판안경 중곡점,"서울특별시 광진구 능동로 376, 성재빌딩 1층 (중곡동)",'04937,02-444-8218
으뜸50 안경콘택트 건대점,"서울특별시 광진구 아차산로 221, 2층 (화양동)",'05018,02-468-5001
으뜸50안경 아차산점,"서울특별시 광진구 자양로43길 48, 302호 (중곡동, 태광빌딩)",'04953,02-3437-5050
Dr(닥터). 유 안경원,"서울특별시 광진구 구의강변로 102, 101동 101호 (구의동, 현대13차폴라트리움)",'05117,02-6053-0625
으뜸50안경(구의광장점),"서울특별시 광진구 아차산로 431, 101동 103호 (구의동, 강변에스케이뷰)",'05045,02-538-1005
오렌즈 건대입구점,"서울특별시 광진구 능동로 103, 동서빌딩 1-3호 (화양동)",'05017,02-499-9333
큐브(CUBE)안경,"서울특별시 광진구 아차산로 537-17, 1층 1호 (광장동, 광장힐스테이트)",'04983,0507-1400-9788
소유안경,"서울특별시 광진구 뚝섬로 595, 1층 (자양동)",'05064,02-3436-1006
으뜸50안경원 건대점,"서울특별시 광진구 능동로 111, 2층 (화양동)",'05017,02-466-5635
렌즈타운 건대점,"서울특별시 광진구 능동로 115, 1층 (화양동)",'05017,02-318-6880
오렌즈 엔터식스테크노마트점,"서울특별시 광진구 광나루로56길 85, 1층 (구의동, 테크노마트)",'05116,02-3424-2332
테라스안경원,"서울특별시 광진구 뚝섬로 510, 1층 (자양동)",'05085,02-499-1001
퍼스트안경,"서울특별시 광진구 아차산로 403, 101호 (구의동)",'05044,02-457-4874
바이원안경원 건대점,"서울특별시 광진구 능동로 127, 1층 (화양동)",'05017,02-462-5554
렌즈미 건대로데오거리점,"서울특별시 광진구 아차산로30길 7, 1층 (자양동)",'05073,02-467-1091
큐트안경,"서울특별시 광진구 면목로 155, 1층 (중곡동)",'04906,02-493-0070
아이비스안경원,"서울특별시 광진구 영화사로 54, 1층 (중곡동)",'04951,02-3436-1001
마노모스,"서울특별시 광진구 능동로 92, 지하1, 1,2층 (자양동)",'05065,02-2218-3264
미소안경,"서울특별시 광진구 뚝섬로 606, 1층 (자양동)",'05098,02-452-1010
온유안경,"서울특별시 광진구 능동로 373, 1층 (중곡동)",'04909,02-465-9009
Eye Man(아이맨) 안경·콘택트,"서울특별시 광진구 용마산로 116, 1층 (중곡동, 한도빌딩)",'04941,02-453-1022
다비치안경,"서울특별시 광진구 아차산로 491, 1층 (광장동)",'04984,02-484-2003
아이즈앤코(EYES and CO) 안경원,"서울특별시 광진구 아차산로 288, 1층 (자양동, 대흥빌딩)",'05066,02-457-2444
눈편한안경,"서울특별시 광진구 군자로 142, 1층 (군자동)",'04998,02-467-1007
아프리카 건대롯데점,"서울특별시 광진구 능동로 92, 10층 (자양동, 롯데백화점)",'05065,02-2218-3989
마이스터 옵틱,"서울특별시 광진구 자양로 116, 1층 115호 (구의동, 웰츠타워)",'05043,02-457-0222
안경,"서울특별시 광진구 자양로13길 72, 1층 (자양동)",'05057,02-2201-0121
렌즈베리 건대점,"서울특별시 광진구 능동로 92, 지하1층 B102호 (자양동, 스타시티리테일)",'05065,02-2218-3035
케이에스안경콘택트,"서울특별시 광진구 천호대로 561, 1층 (중곡동)",'04929,02-453-5002
일공공일(1001) 안경원 테크노마트점,"서울특별시 광진구 광나루로56길 85, 1층 (구의동, 테크노마트 )",'05116,02-3424-1738
렌즈미 건대점,서울특별시 광진구 능동로 139 (화양동),'05011,02-2205-4488
모노클아이웨어이마트자양점,"서울특별시 광진구 아차산로 262, 지하1층 (자양동, 이마트자양점)",'05065,070-4413-7522
안경매니져(중곡점),"서울특별시 광진구 면목로 116, 1층 (중곡동)",'04910,02-497-8003
보다안경,"서울특별시 광진구 자양로 201, 1층 (구의동)",'04991,02-447-3004
스마트안경,서울특별시 광진구 영화사로 8 (중곡동),'04949,02-456-3443
오렌즈,서울특별시 광진구 아차산로 224 (자양동),'05073,02-464-1006
아이리스 안경,"서울특별시 광진구 아차산로 220, 성수송천빌딩 1층 (자양동)",'05072,02-469-2001
안경나라 (구의점),"서울특별시 광진구 자양로 214-1, 1층 (구의동)",'04976,02-444-0022
안경플러스,"서울특별시 광진구 자양로 285, 1층 (구의동)",'04954,02-455-9074
프라임안경,"서울특별시 광진구 광나루로56길 63, 1층 114호 (구의동, 현대프라임아파트)",'05119,02-457-6644
오렌즈 아차산역점 아이스퀘어안경,"서울특별시 광진구 천호대로 647, 1층 (중곡동)",'04953,02-452-0884
사라안경,서울특별시 광진구 영화사로 37 (중곡동),'04946,02-409-6194
룩앤룩안경원스타시티점,"서울특별시 광진구 아차산로 272, 지하1층 33호 (자양동, 스타시티 쇼핑몰)",'05065,02-2024-8701
리앤리안경,서울특별시 광진구 뚝섬로 635-1 (자양동),'05060,02-458-5550
누네 안경,서울특별시 광진구 천호대로111길 10 (중곡동),'04930,02-456-4345
안경박사 광장점,서울특별시 광진구 광나루로 606 (구의동),'05034,02-457-3089
룩옵티컬,"서울특별시 광진구 능동로 129, 지하1,1,2층 (화양동)",'05011,02-468-0037
아이원 안경원,서울특별시 광진구 용마산로 54 (중곡동),'04949,02-453-4040
라인콘텍트안경원,서울특별시 광진구 동일로20길 120 (자양동),'05073,02-468-3900
안경하우스,서울특별시 광진구 용마산로 53 (중곡동),'04923,02-444-1744
아이엔비안경원,서울특별시 광진구 구의로 3 (구의동),'05044,02-455-3344
안경라인안경원,서울특별시 광진구 면목로 195-1 (중곡동),'04902,02-432-0016
아이존안경원,"서울특별시 광진구 광장로 80, 의성빌딩 (광장동)",'04968,02-447-6505
