번호,의안명,제안자,제안일자,소관 위원회,위원회 회부일,위원회 의결일(상정일),위원회 처리결과,제안회기,본회의 의결일(상정일),본회의 처리결과,집행부 이송일,공포일자,공포번호,,,
1,서울특별시광진구음식물쓰레기수집운반및재활용촉진을위한조례안,청소과,1998-07-21,시민건설,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,1998-10-15,제203호,,,
2,재해대책및관급공사조사특별위원회구성안,추윤구,1998-08-05,없음,없음,없음,없음,제28회 임시회,1998-08-11,채택,없음,없음,없음,,,
3,재해대책및관급공사조사계획안,위원장,1998-08-24,없음,없음,없음,없음,제29회 임시회,1998-08-28,승인,1998-08-31,없음,없음,,,
4,재해예방대책에관한건의안,위원장,1998-08-24,없음,없음,없음,없음,제29회 임시회,1998-08-28,채택,1998-08-31,없음,없음,,,
5,서울특별시광진구건축조례중개정조례안,건축과,1998-08-26,시민건설,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,1998-10-15,제205호,,,
6,광진구청장및관계공무원과광진문화원인사출석요구안,추윤구,1998-08-24,없음,없음,없음,없음,제29회 임시회,1998-08-29,채택,없음,없음,없음,,,
7,주택개량재개발사업시행조례중개정조례안,주택과,1998-08-31,시민건설,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,1998-10-15,제206호,,,
8,서울특별시광진구환경기본조례안,환경과,1998-08-31,시민건설,1998-09-08,1998-09-22,없음,제30회 임시회,없음,부 결,없음,없음,없음,,,
9,서울특별시광진구환경모범도시광진21실천위원회설치및운영에관한조례안,환경과,1998-08-31,시민건설,1998-09-08,1998-09-22,없음,제30회 임시회,없음,부 결,없음,없음,없음,,,
10,서울특별시광진구재해대책기금운용관리조례중개정조례안,하수과,1998-09-04,시민건설,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,수정가결,1998-09-25,1998-10-15,제207호,,,
11,서울특별시광진구행정기구설치조례중개정조례안,총무과,1998-09-05,총무재무,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,수정가결,1998-09-25,없음,없음,,,
12,서울특별시광진구지방공무원정원조례중개정조례안,총무과,1998-09-05,총무재무,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,1998-10-15,제201호,,,
13,서울특별시광진구의회사무국설치조례중개정조례안,총무과,1998-09-05,의회운영,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,1998-10-15,제200호,,,
14,서울특별시광진구고용직공무원인사관리조례중개정조례안,총무과,1998-09-05,총무재무,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,수정가결,1998-09-25,없음,없음,,,
15,서울특별시광진구동사무소설치조례중개정조례안,총무과,1998-09-05,총무재무,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,1998-10-15,제202호,,,
16,98년도제4차~제13차간주처리내역보고안,기획예산담당관,1998-09-05,없음,없음,없음,없음,제30회 임시회,1998-09-18,보고,없음,없음,없음,,,
17,98년도제2회일반·특별회계세입·세출추가경정예산안,기획예산담당관,1998-09-05,예산결산,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,수정가결,1998-09-25,없음,없음,,,
18,97년도일반회계예비비사용승인안,기획예산담당관,1998-08-31,예산결산,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,없음,없음,,,
19,서울특별시광진구'97회계년도세입·세출결산승인안,재산회계과,1998-08-31,예산결산,1998-09-08,1998-09-22,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,없음,없음,,,
20,서울특별시광진구폐기물관리조례중개정조례안,청소행정과,1998-09-14,시민건설,1998-09-17,1998-09-22,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,1998-10-15,제204호,,,
21,구비보조금지원단체에대한조사특별위원회구성발의안,오재중,1998-09-16,없음,없음,없음,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,없음,없음,,,
22,구비보조금지원단체에대한조사특별위원회조사계획안,위원장,1998-09-23,조사특위,없음,없음,없음,제30회 임시회,1998-09-23,원안가결,1998-09-25,없음,없음,,,
23,서울특별시광진구행정기구설치조례중개정조례안재의요구안,총무과,1998-09-30,없음,없음,없음,없음,제31회 임시회,1998-10-09,부 결,1998-10-13,없음,없음,,,
24,서울특별시광진구지방고용직공무원인사관리중개정조례안재의요구안,총무과,1998-09-30,없음,없음,없음,없음,제31회 임시회,1998-10-09,부 결,1998-10-13,없음,없음,,,
25,서울특별시광진구지역보건의료계획안,지역보건과,1998-10-16,시민건설,1998-10-30,1998-11-02,없음,제32회 임시회,1998-11-02,원안가결,1998-11-03,없음,없음,,,
26,서울특별시광진구주차장설치및관리조례중개정조례안,교통지도과,1998-10-27,시민건설,1998-10-30,1998-11-02,없음,제32회 임시회,1998-11-02,원안가결,1998-11-03,1998-11-13,제210호,,,
