연번,동,형태,경로당명,전화번호,주소,회원수(남),회원수(여),회원수(총원),경로당설립일
1,중곡1동,구,중곡1동 제1,467-0014,"광진구 긴고랑로5길 10(중곡동, 중곡1동 제1경로당)",2,26,28,1994.06.
2,중곡1동,구,중곡1동 제2,465-2104,"광진구 긴고랑로8길 51(중곡동, 중곡1동 제2경로당)",15,12,27,2003.09.
3,중곡2동,구,한마음,444-0652,"광진구 긴고랑로22길 39-4(중곡동, 한마음경로당)",0,21,21,1989.06.
4,중곡2동,구,장수,454-3811,"광진구 긴고랑로31길 44(중곡동, 장수경로당)",0,31,31,2006.11.
5,중곡3동,구,용마,466-1020,"광진구 용마산로31길 38-8 (중곡동, 용마경로당)",2,28,30,1989.06.
6,중곡3동,구,중곡3동,466-5977,"광진구 동일로80길 20 (중곡동, 중곡3동 경로당)",1,18,19,1998.08.
7,중곡4동,구,중곡4동,457-3073,"광진구 긴고랑로39길 57 (중곡동, 중곡4동 경로당)",7,25,32,1994.05.
8,중곡4동,구,용곡,455-8192,"광진구 용마산28길 31 (중곡동, 용곡경로당)",17,19,36,1995.02.
9,중곡4동,구,대원,457-9203,"광진구 긴고랑로36길 57-27 (중곡동, 대원경로당)",10,31,41,1998.02.
10,중곡4동,사,신향빌라,3437-1334,"광진구 용마산로24길 13 (중곡동, 신향빌라 경로당)",0,14,14,1995.05.
11,능동,구,능동,"남452-2728, 여457-4636","광진구 천호대로112길 70 (능동, 능동경로당)",23,25,48,1989.06.
12,구의1동,구,구의,"남446-9039, 여455-8076","광진구 광나루로40길 6 (구의동, 구의경로당)",18,10,28,1989.06.
13,구의1동,구,명성,446-9481,"광진구 자양로26길 20-5 (구의동, 명성경로당)",31,19,50,2003.08.
14,구의1동,구,구의1동제2,3437-3470,"광진구 광나루로30가길 27 (구의동, 구의1동 제2경로당)",16,22,38,1998.11.
15,구의1동,사,구의새한,456-9109  ,"광진구 자양로26길 71 (구의동, 새한아파트 경로당)",0,11,11,2001.02.
16,구의2동,구,아차산,453-1599,"광진구 자양로47길 9-4 (구의동, 아차산경로당)",17,17,34,1994.05.
17,구의2동,구,소능,457-8271,"광진구 자양로37길 85 (구의동, 소능경로당)",19,38,57,1999.01.
