행정기관,계,인구수(남),인구수(여),지역(구성비),구성비(남),구성비(여),성비,세대수,세대당인구
광진구,"346,682","167,310","179,372",100.00,48.26,51.74,93.28,"167,427",2.07
중곡제1동,"15,792","7,686","8,106",4.56,2.22,2.34,94.82,"8,338",1.89
중곡제2동,"21,943","10,394","11,549",6.33,3.00,3.33,90.00,"10,621",2.07
중곡제3동,"16,683","8,281","8,402",4.81,2.39,2.42,98.56,"8,572",1.95
중곡제4동,"29,387","14,401","14,986",8.48,4.15,4.32,96.10,"13,264",2.22
능동,"11,610","5,329","6,281",3.35,1.54,1.81,84.84,"6,511",1.78
구의제1동,"22,040","10,528","11,512",6.36,3.04,3.32,91.45,"12,122",1.82
구의제2동,"26,954","12,961","13,993",7.77,3.74,4.04,92.62,"11,693",2.31
구의제3동,"29,317","13,939","15,378",8.46,4.02,4.44,90.64,"12,202",2.40
광장동,"35,440","17,122","18,318",10.22,4.94,5.28,93.47,"12,073",2.94
자양제1동,"22,790","10,950","11,840",6.57,3.16,3.42,92.48,"11,869",1.92
자양제2동,"25,641","12,496","13,145",7.40,3.60,3.79,95.06,"11,217",2.29
자양제3동,"28,687","13,771","14,916",8.27,3.97,4.30,92.32,"11,178",2.57
자양제4동,"17,810","8,877","8,933",5.14,2.56,2.58,99.37,"9,540",1.87
화양동,"22,658","10,734","11,924",6.54,3.10,3.44,90.02,"17,061",1.33
군자동,"19,930","9,841","10,089",5.75,2.84,2.91,97.54,"11,166",1.78
