수거실적처리전표번호,품목 코드,최초신청시간,최초신청자,최종작업시간,최종작업자,수거 업체 코드,처리 구분,
202010010002,1-20-03,2020-10-01 14:39,guest,2020-10-06 11:29,pda01,11,3,
202010010003,03-30-14,2020-10-01 15:41,guest,2020-10-12 7:29,pda01,11,3,
202010010003,03-30-15,2020-10-01 15:41,guest,2020-10-12 7:29,pda01,11,3,
202010010003,03-30-15,2020-10-01 15:41,guest,2020-10-12 7:29,pda01,11,3,
202010010004,2-20-61,2020-10-01 15:57,guest,2020-10-01 15:57,pda01,11,3,
202010010005,2-20-61,2020-10-01 16:06,guest,2020-10-01 16:06,pda01,11,3,
202010010006,03-30-41,2020-10-01 16:08,guest,2020-10-01 16:08,pda01,11,3,
202010010007,2-20-61,2020-10-01 16:16,guest,2020-10-01 16:16,pda01,11,3,
202010010008,2-20-61,2020-10-01 16:22,guest,2020-10-08 16:42,pda01,11,3,
202010010009,03-30-56,2020-10-01 18:38,guest,2020-10-01 18:38,pda01,11,3,
202010010010,2-20-12,2020-10-01 19:19,guest,2020-10-01 19:19,pda01,11,3,
202010010011,2-20-48,2020-10-01 22:11,guest,2020-10-12 6:05,pda01,11,3,
202010020001,2-20-14,2020-10-02 10:43,guest,2020-10-05 7:05,pda01,11,3,
202010020004,03-30-16,2020-10-02 11:04,guest,2020-10-02 11:04,pda01,11,3,
202010020004,03-30-16,2020-10-02 11:04,guest,2020-10-02 11:04,pda01,11,3,
202010020004,03-30-16,2020-10-02 11:04,guest,2020-10-02 11:04,pda01,11,3,
202010020004,1-20-56,2020-10-02 11:04,guest,2020-10-02 11:04,pda01,11,3,
202010020004,2-20-61,2020-10-02 11:04,guest,2020-10-02 11:04,pda01,11,3,
202010020005,03-30-16,2020-10-02 11:07,guest,2020-10-06 19:36,pda01,11,3,
202010020005,03-30-16,2020-10-02 11:07,guest,2020-10-06 19:36,pda01,11,3,
202010020005,03-30-16,2020-10-02 11:07,guest,2020-10-07 12:13,pda01,11,3,
202010020005,1-20-56,2020-10-02 11:07,guest,2020-10-07 12:13,pda01,11,3,
202010020005,2-20-61,2020-10-02 11:07,guest,2020-10-07 12:13,pda01,11,3,
