구분,취급금액(백만원),취급업체수(개),취급건수(건),잔액금액(백만원),잔액업체수(개),잔액건수(건)
서울,9008327,38325,51932,8609245,40175,52307
인천,2442965,11285,15524,2418939,11808,15995
경기,11890883,48976,67722,11532209,51741,69900
부산,3212615,14369,19524,3081412,14657,19594
경남,3200656,12972,17854,3201546,13742,18686
대구,2401185,11289,15734,2288849,11613,15759
경북,2808771,10765,15149,2737811,11379,15747
대전,975459,5271,7118,1023131,5927,7862
충남,1862595,6709,9426,1946668,7469,10286
충북,1395142,5141,7299,1453206,5588,7901
광주,1233812,5436,7853,1248318,6039,8545
전남,1273372,5256,7267,1299327,5880,7937
전북,1261181,5847,8238,1303915,6592,9009
강원,899026,5293,7163,908536,5912,7724
제주,303064,1894,2617,366371,2471,3322
울산,764007,2679,3722,733033,2807,3770
합계,44933061,191507,264142,44152517,203800,274344
