일련번호,용도,업종,규모,신용평가기관,등급,발행일,표면금리
1,차환,도매 및 소매업,소기업,신보,K2,2016-02-25,2.93
2,차환,제조업,소기업,신보,K2,2016-02-25,3.03
3,차환,제조업,중기업,신보,K2,2016-02-25,3.03
4,차환,제조업,중기업,신보,K3,2016-02-25,3.33
5,차환,도매 및 소매업,중기업,신보,K3,2016-02-25,3.33
6,차환,도매 및 소매업,중기업,신보,K3,2016-02-25,3.33
7,차환,도매 및 소매업,중기업,신보,K4,2016-02-25,3.53
8,차환,제조업,중기업,신보,K4,2016-02-25,3.53
9,차환,도매 및 소매업,중기업,신보,K4,2016-02-25,3.53
10,차환,제조업,소기업,신보,K4,2016-02-25,3.53
11,차환,도매 및 소매업,중기업,신보,K4,2016-02-25,3.53
12,차환,제조업,소기업,신보,K5,2016-02-25,3.73
13,차환,도매 및 소매업,중기업,신보,K5,2016-02-25,3.73
14,차환,제조업,소기업,신보,K5,2016-02-25,3.73
15,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K5,2016-02-25,3.73
16,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K5,2016-02-25,3.73
17,차환,도매 및 소매업,중기업,신보,K5,2016-02-25,3.73
18,차환,도매 및 소매업,중기업,신보,K5,2016-02-25,3.73
19,차환,제조업,중기업,신보,K5,2016-02-25,3.73
20,차환,통신업,중기업,신보,K6,2016-02-25,3.73
21,차환,도매 및 소매업,중기업,신보,K5,2016-02-25,3.73
22,차환,건설업,중견기업,신평사,BBB-,2016-02-25,3.83
23,차환,제조업,소기업,신보,K5,2016-02-25,3.83
24,차환,제조업,중기업,신보,K5,2016-02-25,3.83
25,차환,제조업,중기업,신보,K6,2016-02-25,3.93
26,차환,제조업,소기업,신보,K6,2016-02-25,3.93
27,차환,제조업,소기업,신보,K7,2016-02-25,4.03
28,차환,육상 운송 및 파이프라인 운송업,소기업,신보,K6,2016-02-25,4.03
29,차환,도매 및 소매업,중기업,신보,K7,2016-02-25,4.13
30,차환,육상 운송 및 파이프라인 운송업,소기업,신보,K7,2016-02-25,4.13
31,차환,도매 및 소매업,중기업,신보,K7,2016-02-25,4.13
32,차환,도매 및 소매업,중기업,신보,K7,2016-02-25,4.23
33,차환,도매 및 소매업,소기업,신보,K8,2016-02-25,4.23
34,차환,건설업,중견기업,신평사,BB+,2016-02-25,4.33
35,차환,건설업,중견기업,신평사,BB+,2016-02-25,4.33
36,차환,건설업,중견기업,신평사,BB+,2016-02-25,4.33
37,차환,숙박음식업,중기업,신보,K9,2016-02-25,4.33
38,차환,도매 및 소매업,중기업,신보,K8,2016-02-25,4.33
39,차환,정보처리 및 기타 컴퓨터 운영 관련업,중기업,신보,K8,2016-02-25,4.33
40,차환,육상 운송 및 파이프라인 운송업,한시성중소기업,신보,K8,2016-02-25,4.43
