순서,투자연도,투자일자,투자금액,투자종류,업종코드,업종분류,소재지,기업구분
1,2014,2014-06-30,1000000000,우선주,C22213,플라스틱 시트 및 판 제조업,경기 광주시,중기업
2,2014,2014-06-30,900000000,우선주,J62021,컴퓨터시스템 통합 자문 및 구축 서비스업,대전 유성구,중기업
3,2014,2014-07-15,999982500,우선주,C26429,기타 무선 통신장비 제조업,경기 화성시,소기업
4,2014,2014-07-15,1000000000,우선주,C29199,그 외 기타 일반목적용 기계 제조업,전북 군산시,소기업
5,2014,2014-08-04,1000000000,우선주,C24212,"알루미늄 제련, 정련 및 합금 제조업",광주 광산구,중견기업
6,2014,2014-08-06,999990000,우선주,C20499,그 외 기타 분류 안된 화학제품 제조업,경기 시흥시,중기업
7,2014,2014-08-14,1000000000,우선주,C11112,맥아 및 맥주 제조업,강원 횡성군,소기업
8,2014,2014-09-22,999900000,우선주,J58221,시스템 소프트웨어 개발 및 공급업,서울 강남구,중기업
9,2014,2014-09-23,600000000,우선주,C14192,"근무복, 작업복 및 유사의복 제조업",서울 송파구,중기업
10,2014,2014-09-26,999600000,우선주,C26299,그 외 기타 전자부품 제조업,경북 구미시,중기업
11,2014,2014-10-06,900000000,우선주,C29271,반도체 제조용 기계 제조업,인천 부평구,소기업
12,2014,2014-10-16,1000000000,우선주,C25113,육상 금속 골조 구조재 제조업,충북 청주시,중기업
13,2014,2014-10-17,990000000,우선주,C28119,기타 전기 변환장치 제조업,경기 군포시,소기업
14,2014,2014-10-21,500000000,우선주,G46739,기타 화학물질 및 화학제품 도매업,서울 서초구,중기업
15,2014,2014-11-11,499975000,우선주,C25923,도장 및 기타 피막처리업,울산 북구,소기업
16,2014,2014-11-14,799995000,우선주,C20423,화장품 제조업,충북 제천시,소기업
17,2014,2014-11-27,1000000000,우선주,C30332,자동차용 신품 전기장치 제조업,경기 광주시,중기업
18,2014,2014-11-27,1000000000,우선주,C26410,유선 통신장비 제조업,경기 김포시,중기업
19,2014,2014-11-28,620000000,우선주,J58222,응용 소프트웨어 개발 및 공급업,서울 송파구,소기업
20,2014,2014-12-11,999950000,우선주,C22249,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업,전남 장성군,소기업
21,2014,2014-12-18,1000000000,우선주,G46203,사료 도매업,서울 서초구,중기업
22,2014,2014-12-18,700000000,우선주,C22231,"플라스틱 포대, 봉투 및 유사제품 제조업",경남 산청군,중기업
23,2014,2014-12-19,1000000000,우선주,C29294,주형 및 금형 제조업,충북 청주시,중기업
24,2014,2014-12-19,999900000,우선주,C22249,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업,경기 화성시,소기업
25,2014,2014-12-26,999900000,우선주,C23999,그 외 기타 분류 안된 비금속 광물제품 제조업,충남 보령시,소기업
26,2014,2014-12-26,800000000,우선주,C20313,유기질 비료 및 상토 제조업,전남 곡성군,소기업
27,2014,2014-12-31,700000000,우선주,C29172,공기 조화장치 제조업,경기 의왕시,중기업
28,2015,2015-01-19,1000000000,우선주,C27111,방사선 장치 제조업,경기 성남시,중기업
29,2015,2015-04-30,1000000000,우선주,C28111,전동기 및 발전기 제조업,경기 용인시,중기업
30,2015,2015-04-30,500000000,우선주,M71310,광고 대행업,경기 성남시,소기업
31,2015,2015-05-15,999990000,우선주,J62021,컴퓨터시스템 통합 자문 및 구축 서비스업,서울 중구,소기업
32,2015,2015-05-29,800000000,우선주,C17212,골판지 상자 및 가공제품 제조업,경북 포항시,소기업
33,2015,2015-05-29,500000000,우선주,C10501,액상시유 및 기타 낙농제품 제조업,경기 화성시,소기업
34,2015,2015-05-29,1000000000,우선주,C27301,광학렌즈 및 광학요소 제조업,광주 북구,소기업
35,2015,2015-06-24,1000000000,우선주,S96993,개인 간병 및 유사 서비스업,서울 강남구,중기업
36,2015,2015-06-25,1000000000,전환사채,G46711,고체연료 및 관련제품 도매업,충북 청주시,소기업
37,2015,2015-06-25,600000000,우선주,C13994,표면처리 및 적층 직물 제조업,대구 달성군,소기업
38,2015,2015-06-26,1000000000,우선주,C22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",경기 안산시,소기업
39,2015,2015-06-26,789999000,우선주,C27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",서울 마포구,소기업
40,2015,2015-06-29,999984000,우선주,C26429,기타 무선 통신장비 제조업,경기 의왕시,소기업
41,2015,2015-06-29,700000000,우선주,C21220,한의약품 제조업,대구 동구,소기업
42,2015,2015-06-30,990000000,우선주,C26429,기타 무선 통신장비 제조업,경기 성남시,소기업
43,2015,2015-08-28,999990000,우선주,C30201,차체 및 특장차 제조업,경기 안성시,소기업
44,2015,2015-08-31,1000000000,전환사채,C29230,금속 주조 및 기타 야금용 기계 제조업,인천 남동구,소기업
45,2015,2015-08-31,1000000000,전환사채,C14192,"근무복, 작업복 및 유사의복 제조업",서울 광진구,중기업
46,2015,2015-10-30,500000000,우선주,J58212,모바일 게임 소프트웨어 개발 및 공급업,경기 고양시,소기업
47,2015,2015-10-30,1000000000,우선주,C31114,선박 구성 부분품 제조업,경남 거제시,중기업
48,2015,2015-11-06,300000000,우선주,C26295,전자감지장치 제조업,대전 유성구,소기업
49,2015,2015-11-11,1000000000,우선주,C20501,합성섬유 제조업,경북 영천시,소기업
50,2015,2015-11-13,910000000,우선주,G46441,의약품 도매업,경기 성남시,중기업
51,2015,2015-11-27,610000000,우선주,M70130,자연과학 및 공학 융합 연구개발업,서울 동대문구,소기업
52,2015,2015-11-27,999950000,우선주,C26429,기타 무선 통신장비 제조업,서울 강남구,중기업
