업체명,법인기업여부,최종업종코드,최종업종명,보증취급일자,취급종류,자금용도,보증상대처,보증금액범위
남****,여,G46712,액체연료 및 관련제품 도매업,2020-10-26,대출보증,운전자금,기업은행,5억이상
삼****,부,C13409,섬유제품 기타 정리 및 마무리 가공업,2020-04-13,대출보증,운전자금,기업은행,1억미만
정****,여,F42411,도장 공사업,2020-04-06,대출보증,운전자금,신한은행,1억이상 3억미만
인****,여,F42201,배관 및 냉ㆍ난방 공사업,2020-11-17,대출보증,운전자금,기업은행,1억이상 3억미만
삼****,여,G46539,기타 산업용 기계 및 장비 도매업,2020-09-16,대출보증,운전자금,기업은행,1억이상 3억미만
의****,여,S95211,자동차 종합 수리업,2020-07-14,대출보증,운전자금,기업은행,1억이상 3억미만
위****,여,C30320,자동차 차체용 신품 부품 제조업,2020-08-12,대출보증,운전자금,기업은행,3억이상 5억미만
성****,여,C14411,스타킹 및 기타 양말 제조업,2020-05-08,대출보증,운전자금,신한은행,5억이상
유****,여,C24199,그 외 기타 1차 철강 제조업,2020-08-13,대출보증,운전자금,기업은행,1억이상 3억미만
충****,여,G46331,주류 도매업,2020-08-31,대출보증,운전자금,신한은행,3억이상 5억미만
금****,부,G46539,기타 산업용 기계 및 장비 도매업,2020-03-17,대출보증,운전자금,기업은행,1억미만
경****,여,G46800,상품 종합 도매업,2020-04-13,대출보증,운전자금,신한은행,1억이상 3억미만
원****,여,G46599,그 외 기타 기계 및 장비 도매업,2020-07-24,대출보증,운전자금,기업은행,3억이상 5억미만
논****,여,H52991,통관 대리 및 관련서비스업,2020-11-26,대출보증,운전자금,기업은행,1억이상 3억미만
은****,여,C20202,합성수지 및 기타 플라스틱 물질 제조업,2020-09-03,대출보증,운전자금,대구은행,1억미만
류****,부,G46691,도료 도매업,2020-10-05,대출보증,운전자금,대구은행,1억이상 3억미만
대****,여,F42420,유리 및 창호 공사업,2020-06-05,대출보증,운전자금,대구은행,1억이상 3억미만
정****,여,H52992,"화물운송 중개, 대리 및 관련 서비스업",2020-06-03,대출보증,운전자금,기업은행,1억이상 3억미만
무****,여,C28122,전기회로 접속장치 제조업,2020-05-15,대출보증,운전자금,기업은행,1억이상 3억미만
동****,여,C17229,기타 종이 상자 및 용기 제조업,2020-08-12,대출보증,운전자금,신한은행,5억이상
동****,여,C17229,기타 종이 상자 및 용기 제조업,2020-08-20,대출보증,운전자금,신한은행,5억이상
두****,여,C29294,주형 및 금형 제조업,2020-12-15,대출보증,운전자금,기업은행,1억이상 3억미만
두****,여,C29294,주형 및 금형 제조업,2020-12-16,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,G46595,전기용 기계ㆍ장비 및 관련 기자재 도매업,2020-09-25,대출보증,운전자금,기업은행,1억이상 3억미만
선****,여,G46331,주류 도매업,2020-03-20,대출보증,운전자금,기업은행,1억이상 3억미만
승****,여,F42600,건설장비 운영업,2020-09-09,대출보증,운전자금,신한은행,1억이상 3억미만
씨****,여,G46591,사무용 가구 및 기기 도매업,2020-04-27,대출보증,운전자금,기업은행,1억미만
씨****,여,G46591,사무용 가구 및 기기 도매업,2020-04-28,대출보증,운전자금,기업은행,1억미만
티****,여,N75310,경비 및 경호 서비스업,2020-04-07,대출보증,운전자금,기업은행,1억이상 3억미만
선****,부,C22212,플라스틱 필름 제조업,2020-08-11,대출보증,운전자금,신한은행,1억이상 3억미만
형****,부,G46799,그 외 기타 상품 전문 도매업,2020-04-27,대출보증,운전자금,기업은행,1억이상 3억미만
정****,여,C26299,그 외 기타 전자부품 제조업,2020-03-24,대출보증,운전자금,기업은행,1억이상 3억미만
영****,부,C30399,그 외 자동차용 신품 부품 제조업,2020-04-10,대출보증,운전자금,기업은행,1억이상 3억미만
코****,여,C13213,화학섬유직물 직조업,2020-10-30,대출보증,운전자금,기업은행,1억이상 3억미만
투****,여,G46415,속옷 및 잠옷 도매업,2020-03-23,대출보증,운전자금,기업은행,1억이상 3억미만
굿****,여,N75210,여행사업,2020-03-31,대출보증,운전자금,기업은행,1억이상 3억미만
통****,여,C25923,도장 및 기타 피막처리업,2020-03-20,대출보증,운전자금,기업은행,1억이상 3억미만
제****,부,G46599,그 외 기타 기계 및 장비 도매업,2020-10-20,대출보증,운전자금,대구은행,1억미만
두****,부,C22299,그 외 기타 플라스틱 제품 제조업,2020-09-01,대출보증,운전자금,신한은행,1억미만
거****,여,C25119,기타 구조용 금속제품 제조업,2020-04-22,대출보증,운전자금,대구은행,1억이상 3억미만
우****,부,C32029,기타 목재가구 제조업,2020-06-15,대출보증,운전자금,기업은행,1억미만
우****,부,C32029,기타 목재가구 제조업,2020-06-16,대출보증,운전자금,기업은행,1억미만
윈****,여,C17901,문구용 종이제품 제조업,2020-04-23,대출보증,운전자금,기업은행,1억이상 3억미만
대****,여,G47711,운송장비용 주유소 운영업,2020-04-03,대출보증,운전자금,기업은행,1억이상 3억미만
농****,여,A01151,콩나물 재배업,2020-03-31,대출보증,운전자금,기업은행,3억이상 5억미만
풍****,여,C25113,육상 금속 골조 구조재 제조업,2020-09-17,대출보증,운전자금,기업은행,1억이상 3억미만
삼****,여,C18119,기타 인쇄업,2020-04-03,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,C20121,산업용 가스 제조업,2020-10-26,대출보증,운전자금,기업은행,1억이상 3억미만
하****,여,G46599,그 외 기타 기계 및 장비 도매업,2020-11-13,대출보증,운전자금,신한은행,1억이상 3억미만
피****,여,G46592,의료기기 도매업,2020-05-18,대출보증,운전자금,기업은행,1억이상 3억미만
예****,여,G46713,기체연료 및 관련제품 도매업,2020-03-27,대출보증,운전자금,기업은행,3억이상 5억미만
삼****,부,C29229,기타 가공 공작기계 제조업,2020-04-22,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,C13213,화학섬유직물 직조업,2020-04-03,대출보증,운전자금,기업은행,1억이상 3억미만
대****,부,G47811,의약품 및 의료용품 소매업,2020-04-08,대출보증,운전자금,기업은행,1억이상 3억미만
동****,여,C23322,레미콘 제조업,2020-09-16,대출보증,운전자금,기업은행,3억이상 5억미만
더****,여,F42412,"도배, 실내장식 및 내장 목공사업",2020-03-18,대출보증,운전자금,기업은행,1억이상 3억미만
화****,여,G46599,그 외 기타 기계 및 장비 도매업,2020-10-21,대출보증,운전자금,신한은행,3억이상 5억미만
엠****,여,C13104,연사 및 가공사 제조업,2020-12-16,대출보증,운전자금,신한은행,3억이상 5억미만
가****,여,C18119,기타 인쇄업,2020-05-25,대출보증,운전자금,기업은행,1억이상 3억미만
거****,부,C29294,주형 및 금형 제조업,2020-10-28,대출보증,운전자금,기업은행,1억이상 3억미만
건****,여,G46331,주류 도매업,2020-10-26,대출보증,운전자금,기업은행,1억이상 3억미만
진****,여,N75210,여행사업,2020-02-25,대출보증,운전자금,기업은행,1억미만
트****,여,C20202,합성수지 및 기타 플라스틱 물질 제조업,2020-04-14,대출보증,운전자금,기업은행,1억미만
트****,여,C20202,합성수지 및 기타 플라스틱 물질 제조업,2020-04-21,대출보증,운전자금,기업은행,1억미만
현****,여,G46539,기타 산업용 기계 및 장비 도매업,2020-05-27,대출보증,운전자금,기업은행,1억이상 3억미만
조****,여,F42411,도장 공사업,2020-09-28,대출보증,운전자금,기업은행,5억이상
현****,여,C26429,기타 무선 통신장비 제조업,2020-05-12,대출보증,운전자금,신한은행,1억미만
서****,여,G46329,기타 가공식품 도매업,2020-03-11,대출보증,운전자금,기업은행,3억이상 5억미만
나****,여,F42499,그 외 기타 건축 마무리 공사업,2020-11-27,대출보증,운전자금,신한은행,1억미만
엠****,여,C30399,그 외 자동차용 신품 부품 제조업,2020-04-21,대출보증,운전자금,기업은행,1억이상 3억미만
이****,여,G47121,슈퍼마켓,2020-09-23,대출보증,운전자금,기업은행,5억이상
부****,여,C24121,열간 압연 및 압출 제품 제조업,2020-08-28,대출보증,운전자금,기업은행,3억이상 5억미만
한****,여,G46441,의약품 도매업,2020-06-08,대출보증,운전자금,기업은행,1억미만
에****,여,F42121,토공사업,2020-10-07,대출보증,운전자금,기업은행,1억이상 3억미만
영****,여,C33910,간판 및 광고물 제조업,2020-04-03,대출보증,운전자금,기업은행,1억이상 3억미만
해****,여,H52942,수상 화물 취급업,2020-06-15,대출보증,운전자금,기업은행,1억이상 3억미만
성****,여,F42136,수중 공사업,2020-02-19,대출보증,운전자금,기업은행,3억이상 5억미만
국****,여,G46599,그 외 기타 기계 및 장비 도매업,2020-09-04,대출보증,운전자금,기업은행,3억이상 5억미만
춘****,여,G46453,"서적, 잡지 및 기타 인쇄물 도매업",2020-05-21,대출보증,운전자금,기업은행,1억이상 3억미만
우****,여,C28121,"전기회로 개폐, 보호장치 제조업",2020-12-18,대출보증,운전자금,기업은행,1억이상 3억미만
크****,여,C25931,날붙이 제조업,2020-06-01,대출보증,운전자금,기업은행,1억미만
금****,여,C29162,승강기 제조업,2020-05-22,대출보증,운전자금,신한은행,3억이상 5억미만
현****,여,H52929,기타 수상 운송지원 서비스업,2020-09-28,대출보증,운전자금,기업은행,1억이상 3억미만
삼****,여,E38312,금속류 원료 재생업,2020-04-07,대출보증,운전자금,기업은행,1억이상 3억미만
한****,여,S95211,자동차 종합 수리업,2020-08-07,대출보증,운전자금,기업은행,1억이상 3억미만
신****,여,S95211,자동차 종합 수리업,2020-04-03,대출보증,운전자금,기업은행,1억이상 3억미만
시****,부,H49401,택배업,2020-03-20,대출보증,운전자금,기업은행,1억이상 3억미만
로****,여,C22222,설치용 및 위생용 플라스틱제품 제조업,2020-04-20,대출보증,운전자금,기업은행,1억이상 3억미만
비****,여,G45212,자동차용 전용 신품 부품 판매업,2020-04-28,대출보증,운전자금,기업은행,1억이상 3억미만
경****,부,G45219,기타 자동차 신품 부품 및 내장품 판매업,2020-09-18,대출보증,운전자금,기업은행,1억이상 3억미만
경****,부,G45219,기타 자동차 신품 부품 및 내장품 판매업,2020-09-23,대출보증,운전자금,기업은행,1억이상 3억미만
새****,부,C24322,동주물 주조업,2020-03-06,대출보증,운전자금,기업은행,1억이상 3억미만
K****,부,G47812,의료용 기구 소매업,2020-03-26,대출보증,운전자금,기업은행,1억미만
경****,여,F42412,"도배, 실내장식 및 내장 목공사업",2020-05-29,대출보증,운전자금,신한은행,5억이상
화****,여,C29229,기타 가공 공작기계 제조업,2020-07-31,대출보증,운전자금,기업은행,1억이상 3억미만
세****,여,F42321,일반 통신 공사업,2020-08-05,대출보증,운전자금,대구은행,1억이상 3억미만
하****,부,C29292,"고무, 화학섬유 및 플라스틱 성형기 제조업",2020-03-13,대출보증,운전자금,기업은행,1억미만
기****,여,F42311,일반전기 공사업,2020-10-20,대출보증,운전자금,기업은행,1억이상 3억미만
동****,여,H52992,"화물운송 중개, 대리 및 관련 서비스업",2020-05-08,대출보증,운전자금,신한은행,5억이상
한****,여,F41121,사무ㆍ상업용 및 공공기관용 건물 건설업,2020-05-15,대출보증,운전자금,대구은행,1억이상 3억미만
대****,여,C10797,건강기능식품 제조업,2020-07-02,대출보증,운전자금,기업은행,1억이상 3억미만
인****,여,G46611,원목 및 건축관련 목제품 도매업,2020-05-08,대출보증,운전자금,기업은행,1억이상 3억미만
에****,여,C13402,"직물, 편조원단 및 의복류 염색 가공업",2020-10-13,대출보증,운전자금,기업은행,1억이상 3억미만
담****,여,G46712,액체연료 및 관련제품 도매업,2020-04-09,대출보증,운전자금,기업은행,1억이상 3억미만
하****,여,C33120,모조 귀금속 및 모조 장신용품 제조업,2020-09-09,대출보증,운전자금,기업은행,3억이상 5억미만
케****,여,C30399,그 외 자동차용 신품 부품 제조업,2020-05-19,대출보증,운전자금,신한은행,1억이상 3억미만
에****,여,C13219,특수 직물 및 기타 직물 직조업,2020-03-19,대출보증,운전자금,기업은행,1억이상 3억미만
금****,여,D35200,연료용 가스 제조 및 배관공급업,2020-09-25,대출보증,운전자금,기업은행,1억이상 3억미만
으****,여,C10302,과실 및 그 외 채소 절임식품 제조업,2020-12-22,대출보증,운전자금,신한은행,3억이상 5억미만
신****,부,C29294,주형 및 금형 제조업,2020-03-11,대출보증,운전자금,기업은행,1억이상 3억미만
디****,여,C34020,전기ㆍ전자 및 정밀기기 수리업,2020-11-05,대출보증,운전자금,기업은행,1억이상 3억미만
윈****,여,G46599,그 외 기타 기계 및 장비 도매업,2020-05-26,대출보증,운전자금,기업은행,1억이상 3억미만
유****,여,F42121,토공사업,2020-06-05,대출보증,운전자금,신한은행,1억이상 3억미만
한****,여,S95211,자동차 종합 수리업,2020-02-20,대출보증,운전자금,기업은행,1억이상 3억미만
신****,여,G45219,기타 자동차 신품 부품 및 내장품 판매업,2020-10-20,대출보증,운전자금,기업은행,5억이상
대****,여,C25924,절삭가공 및 유사처리업,2020-09-14,대출보증,운전자금,기업은행,3억이상 5억미만
지****,여,G46465,자전거 및 기타 운송장비 도매업,2020-04-29,대출보증,운전자금,신한은행,1억이상 3억미만
삼****,여,G46721,1차 금속제품 도매업,2020-03-30,대출보증,운전자금,기업은행,1억미만
삼****,여,G46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",2020-06-24,대출보증,운전자금,기업은행,1억이상 3억미만
강****,부,Q86102,일반 병원,2020-04-20,대출보증,운전자금,기업은행,1억이상 3억미만
로****,여,F42321,일반 통신 공사업,2020-07-28,대출보증,운전자금,기업은행,1억이상 3억미만
